iter	Passed	Remaining
0	2	205
1	3	191
2	5	182
3	6	167
4	8	169
5	11	183
6	13	183
7	15	176
8	16	170
9	18	165
10	19	161
11	21	157
12	22	152
13	24	149
14	25	146
15	27	143
16	28	140
17	30	137
18	31	134
19	33	132
20	34	129
21	35	127
22	37	124
23	38	122
24	40	121
25	45	130
26	47	128
27	49	127
28	51	125
29	53	123
30	54	121
31	56	119
32	57	117
33	59	114
34	60	112
35	61	110
36	63	107
37	64	105
38	66	103
39	67	101
40	69	99
41	69	96
42	71	94
43	72	92
44	73	90
45	75	88
46	76	86
47	78	84
48	79	82
49	80	80
50	82	78
51	83	77
52	84	75
53	86	73
54	87	71
55	88	69
56	90	68
57	91	66
58	92	64
59	94	62
60	95	61
61	96	59
62	98	57
63	99	56
64	101	54
65	102	52
66	104	51
67	105	49
68	106	47
69	108	46
70	109	44
71	111	43
72	112	41
73	114	40
74	115	38
75	116	36
76	118	35
77	119	33
78	120	32
79	122	30
80	123	29
81	125	27
82	127	26
83	128	24
84	129	22
85	131	21
86	132	19
87	134	18
88	135	16
89	137	15
90	138	13
91	139	12
92	141	10
93	142	9
94	144	7
95	145	6
96	146	4
97	148	3
98	149	1
99	151	0
