iter	Passed	Remaining
0	2	2189
1	5	2597
2	7	2378
3	9	2288
4	11	2222
5	13	2168
6	15	2132
7	16	2105
8	21	2380
9	23	2340
10	25	2304
11	27	2272
12	29	2240
13	31	2215
14	33	2195
15	36	2215
16	38	2215
17	40	2197
18	42	2179
19	44	2172
20	46	2159
21	50	2228
22	52	2228
23	54	2212
24	56	2197
25	58	2190
26	60	2176
27	62	2162
28	66	2230
29	68	2219
30	70	2205
31	72	2199
32	74	2188
33	76	2176
34	81	2239
35	83	2230
36	85	2218
37	87	2215
38	89	2205
39	91	2193
40	93	2184
41	97	2224
42	99	2213
43	101	2202
44	104	2224
45	106	2214
46	109	2211
47	113	2254
48	115	2244
49	117	2240
50	119	2231
51	121	2220
52	123	2210
53	125	2200
54	129	2224
55	131	2215
56	136	2251
57	137	2240
58	139	2230
59	143	2251
60	145	2243
61	148	2239
62	150	2231
63	151	2221
64	153	2212
65	155	2206
66	159	2221
67	161	2215
68	163	2207
69	165	2199
70	167	2192
71	169	2187
72	171	2180
73	175	2191
74	177	2185
75	179	2177
76	180	2169
77	182	2161
78	184	2153
79	186	2145
80	190	2161
81	192	2159
82	193	2140
83	195	2133
84	197	2130
85	199	2124
86	201	2118
87	204	2115
88	206	2116
89	208	2109
90	210	2102
91	212	2096
92	214	2090
93	216	2083
94	218	2078
95	224	2117
96	226	2110
97	228	2103
98	230	2097
99	232	2095
100	236	2108
101	238	2102
102	240	2096
103	242	2090
104	244	2084
105	246	2077
106	248	2073
107	252	2082
108	254	2077
109	256	2071
110	257	2066
111	259	2060
112	262	2057
113	264	2052
114	267	2059
115	269	2053
116	270	2044
117	272	2039
118	274	2033
119	276	2027
120	278	2022
121	279	2013
122	283	2019
123	285	2014
124	287	2009
125	289	2005
126	290	1996
127	292	1992
128	294	1987
129	296	1982
130	300	1995
131	302	1990
132	304	1986
133	306	1980
134	308	1977
135	310	1972
136	315	1984
137	317	1980
138	319	1976
139	320	1971
140	322	1967
141	324	1959
142	326	1954
143	329	1959
144	331	1955
145	333	1951
146	335	1947
147	337	1943
148	339	1940
149	341	1936
150	345	1940
151	347	1936
152	348	1931
153	350	1927
154	352	1922
155	354	1918
156	356	1914
157	358	1909
158	361	1914
159	364	1911
160	365	1902
161	367	1899
162	369	1895
163	371	1891
164	373	1887
165	376	1893
166	378	1889
167	380	1885
168	382	1882
169	385	1881
170	387	1877
171	389	1875
172	391	1872
173	393	1869
174	395	1866
175	397	1862
176	399	1858
177	402	1856
178	406	1862
179	407	1858
180	409	1854
181	411	1850
182	413	1846
183	415	1842
184	417	1839
185	421	1844
186	423	1841
187	425	1838
188	427	1834
189	429	1830
190	431	1827
191	433	1824
192	436	1824
193	438	1821
194	440	1817
195	442	1813
196	444	1810
197	445	1806
198	447	1802
199	449	1798
200	452	1797
201	454	1793
202	456	1791
203	458	1788
204	460	1785
205	462	1781
206	466	1785
207	468	1782
208	469	1778
209	471	1775
210	474	1772
211	476	1772
212	478	1769
213	480	1766
214	482	1763
215	485	1760
216	486	1757
217	488	1753
218	491	1751
219	494	1753
220	496	1750
221	498	1746
222	500	1743
223	502	1740
224	504	1736
225	506	1733
226	508	1730
227	511	1731
228	513	1729
229	515	1725
230	517	1721
231	519	1718
